Student Roll Num,Type,10-01-21,R-10-01-21,09-01-21,R-9-01-21,08-01-21,R-8-01-21,07-01-21,R-7-01-21,06-01-21,R-6-01-21,05-01-21,R-5-01-21,04-01-21,R-4-01-21,03-01-21,R-3-01-21,02-01-21,R-02-01-21,01-01-21,R-01-01-21
1,WORKING,Missed,7,Missed,10,Missed,6,Missed,10,Missed,6,Missed,7,Missed,9,Missed,10,Missed,7,Missed,6
2,,Missed,8,Missed,5,Missed,6,Attended,5,Missed,9,Attended,9,Attended,7,Missed,6,Attended,10,Missed,5
3,STUDENT,Missed,6,Missed,5,Missed,8,Missed,7,Attended,7,Attended,6,Missed,5,Missed,9,Attended,8,Attended,8
4,STUDENT,Missed,8,Missed,7,Attended,10,Missed,10,Missed,8,Missed,8,Attended,9,Attended,6,Attended,7,Attended,5
5,WORKING,Missed,6,Missed,7,Missed,7,Missed,5,Missed,5,Missed,7,Missed,5,Missed,8,Missed,10,Missed,5
6,,Missed,6,Missed,6,Missed,5,Missed,10,Missed,7,Missed,7,Attended,10,Attended,5,Attended,5,Attended,7
7,STUDENT,Attended,6,Attended,8,Attended,6,Attended,9,Attended,8,Attended,5,Attended,7,Attended,9,Attended,7,Attended,6
8,STUDENT,Missed,8,Missed,10,Missed,7,Missed,5,Missed,6,Missed,5,Missed,10,Missed,10,Missed,9,Missed,7
9,IGNORE,Missed,9,Missed,6,Missed,10,Missed,5,Missed,10,Missed,6,Missed,10,Missed,7,Missed,8,Missed,5
10,,Missed,6,Missed,9,Missed,7,Missed,9,Missed,6,Missed,10,Missed,6,Missed,6,Missed,10,Missed,5
11,STUDENT,Attended,10,Attended,5,Attended,10,Attended,8,Attended,5,Attended,10,Attended,9,Attended,10,Attended,10,Attended,6
12,STUDENT,Attended,5,Attended,8,Attended,9,Attended,8,Attended,10,Attended,10,Attended,5,Attended,10,Attended,7,Attended,9
13,STUDENT,Attended,10,Attended,9,Attended,7,Attended,8,Attended,8,Attended,10,Attended,10,Attended,10,Attended,9,Attended,10
14,STUDENT,Attended,9,Attended,6,Attended,10,Attended,6,Attended,10,Missed,5,Attended,10,Attended,5,Attended,8,Attended,8
15,WORKING,Attended,7,Attended,5,Attended,7,Attended,10,Attended,7,Attended,7,Attended,6,Attended,9,Attended,10,Attended,5
16,WORKING,Missed,9,Missed,9,Missed,10,Attended,10,Attended,10,Missed,5,Attended,8,Attended,8,Attended,10,Attended,8
17,STUDENT,Attended,8,Attended,10,Attended,10,Attended,10,Missed,10,Missed,9,Attended,9,Missed,5,Missed,9,Missed,9
18,,Missed,5,Missed,8,Missed,8,Missed,6,Missed,8,Missed,5,Missed,6,Missed,6,Missed,8,Missed,9
19,,Missed,7,Missed,8,Missed,9,,10,,7,,5,,7,,7,,5,,10
20,,Missed,7,Attended,5,Missed,7,Attended,7,Missed,5,Attended,8,Attended,7,Attended,6,Attended,5,Missed,8
21,,Missed,9,Missed,10,Missed,8,Missed,6,Missed,10,Missed,5,Missed,8,Missed,6,Missed,10,Missed,6
22,WORKING,Attended,6,Attended,9,Attended,6,Attended,5,Attended,9,Attended,10,Attended,10,Attended,9,Attended,6,Attended,8
23,,Missed,7,Missed,6,Missed,10,Missed,5,Missed,9,Missed,5,Missed,10,Missed,6,Missed,5,Missed,9
24,WORKING,Attended,7,Attended,9,Attended,10,Attended,7,Attended,10,Missed,10,Attended,9,Missed,8,Attended,5,Attended,8
25,STUDENT,Attended,5,Attended,10,Attended,6,Attended,8,Attended,6,Attended,10,Attended,6,Attended,10,Attended,5,Attended,6
26,STUDENT,Attended,9,Attended,8,Attended,7,Attended,8,Attended,7,Attended,8,Missed,10,Attended,8,Attended,5,Attended,5
27,,Missed,10,Missed,8,Missed,8,Attended,5,Attended,10,Attended,8,Missed,10,Missed,9,Missed,6,Attended,7
28,STUDENT,Attended,9,Attended,6,Attended,9,Attended,6,Attended,7,Attended,5,Attended,5,Attended,9,Attended,6,Attended,8
29,STUDENT,Attended,8,Attended,7,Attended,9,Attended,8,Attended,10,Attended,9,Attended,8,Attended,6,Missed,6,Attended,7
30,WORKING,Attended,10,Attended,6,Attended,8,Attended,6,Attended,9,Attended,5,Missed,7,Missed,7,Missed,5,Missed,10
31,,Attended,8,Attended,5,Attended,8,Attended,10,Attended,5,Attended,7,Attended,6,Attended,9,Attended,6,Attended,8
32,STUDENT,Missed,9,Missed,6,Missed,7,Missed,9,Missed,10,Missed,6,Missed,10,Missed,7,Missed,6,Missed,7
33,STUDENT,Missed,8,Missed,5,Missed,7,Missed,8,Missed,6,Missed,7,Missed,6,Missed,7,Missed,7,Missed,10
34,STUDENT,Attended,9,Attended,10,Attended,10,Attended,7,Attended,10,Attended,10,Attended,8,Attended,6,Attended,10,Attended,9
35,STUDENT,Missed,10,Missed,7,Missed,5,Missed,10,Missed,6,Missed,8,Missed,5,Missed,7,Missed,10,Missed,10
36,WORKING,Missed,10,Missed,10,Missed,8,Missed,5,Missed,9,Missed,6,Missed,7,Missed,6,Missed,8,Missed,6
37,,Missed,9,Missed,5,Missed,8,Missed,8,Missed,9,Missed,5,Missed,5,Missed,6,Attended,5,Attended,5
38,,Attended,6,Attended,10,Attended,9,Attended,6,Missed,6,Attended,8,Attended,7,Attended,8,Attended,6,Attended,8
39,,Missed,10,Missed,8,Missed,5,Missed,7,Missed,6,Missed,5,Missed,6,Missed,10,Missed,9,Missed,6
40,,Attended,7,Attended,5,Attended,6,Attended,6,Attended,9,Attended,5,Attended,7,Missed,7,Attended,6,Missed,6
41,,Attended,5,Attended,8,Attended,7,Attended,8,Attended,5,Attended,9,Attended,5,Attended,9,Attended,9,Attended,6
42,,Attended,7,Attended,7,Missed,5,Attended,6,Attended,7,Attended,5,Missed,7,Attended,10,Attended,5,Missed,8
43,,Missed,6,Missed,6,Missed,5,Missed,8,Missed,6,Missed,7,Missed,5,Missed,5,Missed,9,Missed,5
44,,Attended,7,Attended,8,Attended,6,Attended,7,Attended,6,Attended,5,Attended,6,Attended,9,Attended,10,Attended,6
45,,Attended,8,Attended,10,Attended,10,Attended,10,Attended,5,Attended,9,Attended,6,Attended,6,Attended,6,Attended,5
46,STUDENT,Missed,9,Missed,8,Missed,5,Missed,9,Attended,10,Missed,7,Attended,7,Missed,10,Attended,6,Missed,10
47,,Attended,5,Missed,5,Attended,8,Attended,10,Attended,5,Attended,7,Attended,5,Attended,8,Attended,6,Attended,8
48,,Missed,8,Missed,10,Missed,5,Attended,8,Attended,5,Attended,6,Attended,9,Missed,6,Attended,6,Attended,10
49,STUDENT,Missed,7,Missed,6,Missed,7,Missed,8,Missed,10,Missed,6,Missed,7,Missed,9,Missed,5,Missed,5
50,IGNORE,Missed,10,Missed,9,Missed,10,Missed,9,Missed,7,Missed,10,Missed,6,Missed,5,Missed,5,Missed,5
51,STUDENT,Missed,7,Missed,8,Missed,8,Missed,5,Missed,8,Missed,8,Missed,6,Missed,6,Missed,6,Missed,5
52,DROPOUT,Missed,9,Missed,6,Missed,9,Missed,6,Missed,10,Missed,7,Missed,5,Missed,7,Missed,6,Missed,5
53,,Missed,8,Missed,6,Attended,7,Missed,10,Missed,10,Missed,7,Attended,10,Attended,10,Attended,7,Attended,7
54,,Attended,6,Missed,8,Attended,7,Attended,5,Attended,9,Attended,5,Attended,7,Attended,10,Attended,5,Attended,9
55,WORKING,Missed,5,Missed,10,Missed,6,Missed,5,Missed,7,Attended,7,Attended,5,Missed,6,Attended,7,Missed,5
56,,Attended,7,Attended,5,Attended,6,Missed,5,Missed,6,Attended,9,Attended,8,Attended,8,Attended,8,Attended,8
57,,Attended,8,Attended,9,Attended,10,Attended,10,Attended,7,Missed,10,Attended,9,Attended,7,Attended,6,Attended,8
